[2021-05-21T23:10:11-0700] [ALPM] installed mingw-w64-x86_64-pango (1.48.4-2)
[2021-05-21T23:10:12-0700] [ALPM] installed mingw-w64-x86_64-libxml2 (2.9.10-8)
[2021-05-21T23:10:12-0700] [ALPM] installed mingw-w64-x86_64-librsvg (2.50.3-1)
[2021-05-21T23:10:18-0700] [ALPM] installed mingw-w64-x86_64-adwaita-icon-theme (3.38.0-4)
[2021-05-21T23:10:18-0700] [ALPM] installed mingw-w64-x86_64-atk (2.36.0-2)
[2021-05-21T23:10:18-0700] [ALPM] installed mingw-w64-x86_64-gtk-update-icon-cache (3.24.27-1)
[2021-05-21T23:10:18-0700] [ALPM] installed mingw-w64-x86_64-shared-mime-info (2.0-5)
[2021-05-21T23:10:20-0700] [ALPM] installed mingw-w64-x86_64-gtk2 (2.24.33-2)
[2021-05-21T23:10:20-0700] [ALPM] transaction completed
[2021-05-21T23:10:20-0700] [ALPM] running 'mingw-w64-x86_64-gdk-pixbuf-query-loaders.hook'...
[2021-05-21T23:10:20-0700] [ALPM] running 'mingw-w64-x86_64-gtk-update-icon-cache.hook'...
[2021-05-21T23:50:03-0700] [PACMAN] Running 'pacman -S mingw-w64-x86_64-gtk3'
[2021-05-21T23:50:28-0700] [ALPM] transaction started
[2021-05-21T23:50:28-0700] [ALPM] installed mingw-w64-x86_64-json-glib (1.6.2-1)
[2021-05-21T23:50:28-0700] [ALPM] installed mingw-w64-x86_64-libepoxy (1.5.5-1)
[2021-05-21T23:50:29-0700] [ALPM] installed mingw-w64-x86_64-gtk3 (3.24.27-1)
[2021-05-21T23:50:29-0700] [ALPM] transaction completed
[2021-05-21T23:50:29-0700] [ALPM] running 'mingw-w64-x86_64-glib-compile-schemas.hook'...
[2021-05-21T23:50:29-0700] [ALPM] running 'mingw-w64-x86_64-gtk-update-icon-cache.hook'...
[2021-05-21T23:50:41-0700] [PACMAN] Running 'pacman -S mingw-w64-x86_64-glade'
[2021-05-21T23:50:49-0700] [ALPM] transaction started
[2021-05-21T23:50:49-0700] [ALPM] installed mingw-w64-x86_64-libunistring (0.9.10-3)
[2021-05-21T23:50:49-0700] [ALPM] installed mingw-w64-x86_64-libidn2 (2.3.0-1)
[2021-05-21T23:50:49-0700] [ALPM] installed mingw-w64-x86_64-nettle (3.7-2)
